Category,Goal,Pledged,pledged_per_backer
Web,100000.0,141.0,47.0
Technology,250000.0,90771.0,756.425
Web,15000.0,25.0,25.0
Hardware,6000.0,20.0,10.0
Flight,8500.0,1355.0,338.75
Hardware,250000.0,268192.0,478.060606061
Fabrication Tools,5000.0,5000.0,87.7192982456
Hardware,3500.0,107.0,15.2857142857
Sound,25000.0,227673.0,99.9442493415
Technology,10000.0,17771.0,658.185185185
Hardware,15000.0,3877.0,114.029411765
Web,18000.0,410.0,102.5
Software,98000.0,1.0,1.0
DIY Electronics,10000.0,23447.0,78.6812080537
Apps,45000.0,895.0,12.6056338028
Technology,25000.0,41136.55,174.307415254
Hardware,25000.0,31275.6,73.4169014085
Camera Equipment,8500.0,16998.0,125.911111111
Camera Equipment,20000.0,5043.0,504.3
Apps,150000.0,50.0,50.0
Gadgets,30000.0,396299.0,164.303067993
Technology,20000.0,21613.47,74.0187328767
Apps,4000.0,7.0,2.33333333333
Camera Equipment,9000.0,30126.0,183.695121951
Hardware,2500.0,38946.01,84.1166522678
Technology,5000.0,5060.0,29.4186046512
Hardware,20000.0,74026.0,182.780246914
3D Printing,25000.0,118923.5,410.081034483
Apps,1000.0,35.0,11.6666666667
Hardware,60000.0,45687.01,423.02787037
Sound,2800.0,545.0,49.5454545455
Technology,50000.0,261.0,52.2
Software,7000.0,2002.0,47.6666666667
DIY Electronics,25000.0,2666.0,46.7719298246
Apps,50000.0,7697.0,90.5529411765
Technology,20000.0,15.0,7.5
Hardware,150000.0,7333.0,366.65
Fabrication Tools,3000.0,4205.0,50.0595238095
Technology,100000.0,12133.0,319.289473684
Hardware,5000.0,5843.0,100.74137931
Apps,4500.0,4566.0,97.1489361702
DIY Electronics,30000.0,578478.33,103.968067937
DIY Electronics,35000.0,67408.0,65.8924731183
Technology,91000.0,261.0,21.75
3D Printing,20000.0,13020.0,325.5
Software,4400.0,4502.0,140.6875
Technology,16500.0,2072.0,31.3939393939
Technology,7500.0,400.0,100.0
DIY Electronics,1000.0,2780.0,23.1666666667
Software,3000.0,435.0,20.7142857143
Space Exploration,100.0,135.0,22.5
Software,20000.0,280.0,20.0
Hardware,500.0,3801.0,102.72972973
Technology,1500.0,2313.0,38.55
Hardware,75000.0,280.0,31.1111111111
Fabrication Tools,80000.0,150986.0,747.455445545
Technology,100000.0,1892.0,378.4
Wearables,22500.0,3194.0,91.2571428571
Software,2500.0,136.0,19.4285714286
Hardware,15000.0,39473.14,144.59025641
Software,50000.0,1.0,1.0
Hardware,25000.0,65346.0,806.740740741
3D Printing,36500.0,2676.0,223.0
Apps,13000.0,430.0,53.75
Web,25000.0,43.0,21.5
Software,2500.0,929.66,34.4318518519
Hardware,5000.0,100.0,100.0
Technology,20000.0,1439.0,55.3461538462
Flight,200.0,50.0,25.0
Hardware,1800.0,11.0,5.5
Apps,55000.0,150.0,75.0
Gadgets,20000.0,95399.0,28.9350925083
Apps,50000.0,10.0,10.0
Technology,250000.0,11818.0,562.761904762
Web,8000.0,705.0,30.652173913
Robots,70000.0,744.0,93.0
Apps,18000.0,10.0,10.0
Web,135000.0,52.0,8.66666666667
Technology,7000.0,373.0,53.2857142857
Technology,20000.0,73.0,24.3333333333
Technology,210000.0,46.0,7.66666666667
Hardware,100000.0,120249.0,223.096474954
Apps,25000.0,216.0,24.0
Wearables,115000.0,128181.89,194.805303951
DIY Electronics,300.0,162.0,32.4
Gadgets,100000.0,5066.0,149.0
Technology,75000.0,180.0,36.0
Wearables,50000.0,806.0,134.333333333
3D Printing,75000.0,2.0,1.0
Robots,4000.0,1.0,1.0
Hardware,6000.0,550.0,275.0
Technology,2000.0,3414.0,54.1904761905
Apps,20000.0,21212.0,49.6768149883
Technology,25000.0,77474.74,55.9788583815
Hardware,10000.0,1.0,1.0
Technology,45000.0,205121.59,50.1397188951
Technology,12500.0,69404.13,63.4987465691
Wearables,4000.0,65.0,13.0
Makerspaces,100000.0,31.0,7.75
Apps,10000.0,70.0,17.5
Fabrication Tools,17000.0,115.0,19.1666666667
Technology,100000.0,253.0,42.1666666667
Apps,6000.0,2.0,1.0
Technology,36500.0,4736.0,143.515151515
Hardware,30000.0,2344134.67,88.6016808406
Technology,150000.0,158455.0,103.093689005
Technology,750000.0,81060.67,85.7784867725
Wearables,10000.0,20848.0,96.9674418605
Web,10000.0,200.0,28.5714285714
Gadgets,30000.0,14085.0,158.258426966
Apps,25000.0,500.0,500.0
Camera Equipment,30000.0,1116.0,79.7142857143
Technology,52700.0,300.0,60.0
Robots,500.0,1304.0,25.568627451
Sound,15000.0,150.0,150.0
Technology,4000.0,396.0,33.0
Wearables,75000.0,106084.5,95.8306233062
Apps,7000.0,963.0,43.7727272727
Flight,20000.0,22403.0,105.178403756
Gadgets,2500.0,10.0,10.0
Robots,225000.0,229819.91,132.156359977
Hardware,10000.0,3508.0,194.888888889
Apps,10000.0,50.0,25.0
Apps,65000.0,2386.0,20.3931623932
Web,65000.0,1256.0,69.7777777778
Software,4500.0,110.0,27.5
Software,10000.0,11018.0,71.5454545455
Gadgets,13000.0,925.0,71.1538461538
3D Printing,30000.0,1163.0,116.3
Software,250000.0,1.0,1.0
Robots,5000.0,199.0,19.9
Hardware,7500.0,250.0,83.3333333333
DIY Electronics,3000.0,5064.0,220.173913043
Apps,100000.0,77.0,15.4
Hardware,5000.0,686.0,76.2222222222
Technology,50000.0,10.0,10.0
Technology,100000.0,109926.5,180.207377049
Gadgets,500.0,21.0,10.5
3D Printing,30000.0,7072.0,128.581818182
Hardware,35000.0,36587.72,93.098524173
Space Exploration,111100.0,78.0,7.09090909091
Robots,150000.0,760.0,28.1481481481
Technology,3500.0,1607.0,35.7111111111
Web,13000.0,955.0,73.4615384615
Software,17500.0,271.0,30.1111111111
Robots,4300.0,287.0,57.4
Hardware,35000.0,36237.0,115.038095238
DIY Electronics,10000.0,2253.0,64.3714285714
Technology,50000.0,2610.0,522.0
Apps,10000.0,50.0,25.0
Flight,1500.0,150.0,30.0
3D Printing,110000.0,16.0,5.33333333333
Web,1500.0,1.0,1.0
Hardware,50000.0,3208.0,178.222222222
Apps,125000.0,20.0,20.0
Apps,13500.0,13603.0,523.192307692
Hardware,3500.0,7518.0,139.222222222
Apps,60000.0,4.0,2.0
Apps,75000.0,448.0,28.0
Technology,20000.0,23459.0,106.631818182
Web,29000.0,2.0,1.0
Apps,50000.0,5.0,5.0
Technology,8999.0,571.0,19.6896551724
Software,1000.0,50.0,50.0
Apps,60000.0,23.0,5.75
Apps,10800.0,11029.67,33.2218975904
Web,50.0,1.0,1.0
3D Printing,5000.0,586.0,58.6
Hardware,7400.0,836.0,64.3076923077
Web,500.0,7.0,2.33333333333
Technology,30000.0,8390.0,93.2222222222
Software,17000.0,500.0,500.0
Hardware,39999.0,2456.0,102.333333333
Web,20588.0,5.0,5.0
Gadgets,75000.0,1350.0,168.75
Technology,150000.0,11.0,3.66666666667
Apps,24000.0,937.0,58.5625
Gadgets,10000.0,582634.0,153.648206751
Web,12000.0,650.0,162.5
Technology,475000.0,82998.0,2184.15789474
DIY Electronics,12000.0,27242.0,61.9136363636
Wearables,4500.0,4726.0,429.636363636
Software,100000.0,2.0,1.0
Apps,10000.0,45.0,15.0
Robots,30000.0,226.0,56.5
Technology,20000.0,60.0,20.0
Apps,10000.0,60.0,20.0
Software,2500.0,2543.0,55.2826086957
Hardware,75000.0,98001.0,45.624301676
Technology,100000.0,15000.0,166.666666667
Hardware,15000.0,240.0,34.2857142857
Technology,40850.0,1306.0,186.571428571
Technology,3000.0,23183.0,101.23580786
